Unnamed: 0,Emotion,Text,Clean_Text
36,sadness,homies all go to ride ponies... I look at them like a sad puppy #wanttoride #ankleneedstoheal,homies ride ponies look like sad puppy #wanttoride #ankleneedstoheal
38,sadness,OMG its December 5th and the windows are open at my house. Mr. Winter where are you. Jack frost is missing too. ,OMG December 5th windows open house Mr Winter you Jack frost missing too
41,anger,"When you kill yourself with work and see the number of slakers wandering around, doing nothing.",kill work number slakers wandering around nothing
43,sadness, I thought they had already agreed to everything . That ’ s going to take weeks to rework . ,thought agreed  ’ going weeks rework 
44,anger,My parents didn't allow me to go to a social function that all my friends were attending.,parents allow social function friends attending
46,sadness,Bro team lost... .... Least he played with swag... #freshcut,Bro team lost  played swag #freshcut
47,joy,When I heard that I had been selected fot the first year at the university of Zambia.  This was after my form five at Chikola secondary school.,heard selected fot year university Zambia form Chikola secondary school
48,anger,"When someone tried to rape one of my best friends and he claimed it was her fault. He the hassled her, claimed she was loose, and threatened to sue her.",tried rape best friends claimed fault hassled her claimed loose threatened sue her
49,joy,Welp time to study for the next few days... ,Welp time study days
50,joy,Heading to campus in the rain to take grad photos ,Heading campus rain grad photos
52,sadness,That moment of terror when you go to drink your hot chocolate knowing its about to burn your mouth. ,moment terror drink hot chocolate knowing burn mouth
53,sadness," Well , I am under a lot of pressure . My boss is very pushy . He assigned me three projects . Now the deadlines are near , and I still have not finished all of my projects . ", lot pressure  boss pushy  assigned projects  deadlines near  finished projects 
54,sadness,Sink is broken so no  2night: Was going to be lamb..now just pbj! ,Sink broken 2night: going lambnow pbj
55,sadness,I apparently lost my best-friend.. ,apparently lost bestfriend
58,sadness,I very rarely am in desperate need of someone to talk to. Tonight is one of those nights. Everyone is sleeping. I'm at a loss. ,rarely desperate need talk to Tonight nights sleeping Im loss
59,sadness,When I was a Sr. in HS. one of the class counselors died of hepatitis. She was very sensitive. She knew my shyness and drew me out to improve myself image. I missed her funeral - so I could not publically grieve. My parents didn't understand.,Sr HS class counselors died hepatitis sensitive knew shyness drew improve image missed funeral  publically grieve parents understand
61,neutral," My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . ",motherinlaw thing  disciplining  disciplining  complained food fed  schools sent  sun 
62,joy, I am feeling awesome .,feeling awesome 
63,joy,@TheBodyShopUK brings me - I've just bought all my Christmas presents and I didn't have to trawl loads of shops! :),  brings  Ive bought Christmas presents trawl loads shops :)
68,neutral," Well , I didn't think so at first . But as we started talking , I found him extremely funny and witty . I couldn't stop laughing at his jokes ! And we have so much in common . We like the same team , music , and most amazingly , we both love Chinese food ! I have the feeling that we are going to be great friends . ", think  started talking  found extremely funny witty  stop laughing jokes  common  like team  music  amazingly  love Chinese food  feeling going great friends 
70,joy,I just shit my pants. Pure 100% gravy. ,shit pants Pure 100% gravy
71,joy,"For once in his life , Leopold must have been truly happy : his hopes and prayers for his beloved son seemed at last to have come to fruition . ",life  Leopold truly happy : hopes prayers beloved son come fruition 
73,joy,Class then jamming out my last paper of the quarter.  No reason to celebrate though. Studying will begin right after. ,Class jamming paper quarter reason celebrate though Studying begin right after
74,sadness,"NOOOOOO, no pongan super torpe a las 9 de la mañana, entendemos que nadie lo ve, pero yo sí! y no me voy a levantar para verlo ",NOOOOOO pongan super torpe las 9 de la mañana entendemos que nadie lo ve pero yo sí voy levantar para verlo
76,neutral, Once in a while . ,
77,anger,Side effect of not smoking reefer. ,effect smoking reefer
81,joy,I can't wait to just sleep in tomorrow! I must study tonight and tomorrow and the next night oh and 3 essays due!,cant wait sleep tomorrow study tonight tomorrow night oh 3 essays due
82,anger,is a juvenile emotion that even the most simple minded creature can express,juvenile emotion simple minded creature express
83,anger,"Suppressing her annoyance at being called "" Little Sara "" , she replied that all was well . ",Suppressing annoyance called  Little Sara   replied 
84,joy,Now time to unpack and finish some homework ,time unpack finish homework
88,anger,Sly was left feeling absolutely livid . ,Sly left feeling absolutely livid 
91,anger,I had left a student newspaper of the Chinese university on the table of the library.  It had disappeared when I came back.,left student newspaper Chinese university table library disappeared came back
92,joy,"At a choral concert I appeared as a solist. The concert5 was very good, I forgot all the hard work that had been done before. There remained only an undescribable joy and a feeling of warmth, security etc.",choral concert appeared solist concert5 good forgot hard work before remained undescribable joy feeling warmth security etc
95,sadness,"He glanced up , saw Auguste 's anguished eyes , and thought he understood . ",glanced  saw Auguste s anguished eyes  thought understood 
96,joy,The world can't give you only happiness. One last a lot longer. #GoFigure,world cant happiness lot longer #GoFigure
97,anger,He dipped the cotton wool in the water and dabbed at the livid puffy eyes . ,dipped cotton wool water dabbed livid puffy eyes 
98,sadness,"` I am sad we have not been afforded the same welcome given to the Beirut hostages , "" he told a deeply moved audience at the AGM last month . ", sad afforded welcome given Beirut hostages   told deeply moved audience AGM month 
99,joy,Oh early morning preachings by my father ,Oh early morning preachings father
100,joy,If you are robbed of during tribulation it is because u hav not entered into the means He has provided for Joy #prayer Communion w God,robbed tribulation u hav entered means provided Joy #prayer Communion w God
102,joy,"Good morning , Jim ! ",Good morning  Jim 
104,anger, They soud like the neighbours from hell ! ,soud like neighbours hell 
105,joy,If chris Paul sum how goes to the clippers. Idk I'll lose it ,chris Paul sum goes clippers Idk Ill lose
107,sadness,"The time I lost a badminton match, that I should have won at the Zambia closed badminton championships.",time lost badminton match Zambia closed badminton championships
108,joy,"The advertisements appeared in Novoye Russkoye at the weekend , causing a buzz of excitement in the Soviet expatriate enclave of Brighton Beach , also known as Little Odessa . ",advertisements appeared Novoye Russkoye weekend  causing buzz excitement Soviet expatriate enclave Brighton Beach  known Little Odessa 
110,joy,Thrilled to reunite with my best friend today! It's raining though and we have to find our way to a theater for a dance show downtown. ,Thrilled reunite best friend today raining find way theater dance downtown
111,sadness," Not from this brand , I'm afraid . ",brand  Im afraid 
113,joy,"Study all day tomorrow, most of the day Saturday and Sunday. ",Study day tomorrow day Saturday Sunday
114,neutral, So ? ,
115,sadness,Just saw an empty Summer Shandy box next to my Aunt's fridge. But no Liene to be found ,saw Summer Shandy box Aunts fridge Liene found
117,sadness,"Her voice shook , her face was white with anguish . ",voice shook  face white anguish 
118,sadness,"going loner to target, panache and hob lob...",going loner target panache hob lob
119,joy,"This would normally push up her heart rate but with her pulse already racing due to the alcohol , dancing and general party excitement the increase is not as noticeable as normal . ",normally push heart rate pulse racing alcohol  dancing general party excitement increase noticeable normal 
120,anger,"His teachers were suspicious of his popularity , annoyed by his lack of interest in academic work and infuriated that he could still achieve high marks in examinations . ",teachers suspicious popularity  annoyed lack interest academic work infuriated achieve high marks examinations 
121,anger,"When they broke the artistic work of several weeks.  Changes were made and it was broken without permission, they had no right to do this.",broke artistic work weeks Changes broken permission right this
123,joy,"Took a nap for a few hours, now watching Christmas movies  ",Took nap hours watching Christmas movies
124,sadness,"For the owner , it can mean heartbreak at the loss of a family pet . ",owner  mean heartbreak loss family pet 
126,anger, It is impossible . You cheated on me . ,impossible  cheated 
127,sadness,"No afternoon nap for me, burning my episodes into DVD to prepare for Stu the Hard Drive's reformat. :(",afternoon nap me burning episodes DVD prepare Stu Hard Drives reformat :(
128,joy,ill be working from 9pm-6am on black Friday ,ill working 9pm6am black Friday
129,neutral, Nothing . ,
131,sadness,@MWScripts WANT ENGLISH BULLDOG PUPPY.   ,  WANT ENGLISH BULLDOG PUPPY
132,anger,I will be the most disappointed if they actually consider Taylor Swift for the role of Eponine in the movie version of Les Mis.... ,disappointed actually consider Taylor Swift role Eponine movie version Les Mis
133,joy,@sabambury I wish everyone saw Church as a highlight of Christmas! ,  wish saw Church highlight Christmas
135,sadness,In an expression of community sympathy many local children in South Ronaldsay made and sent cards to the four devastated mothers . ,expression community sympathy local children South Ronaldsay sent cards devastated mothers 
136,sadness,3:30am my guy friend was gonna come up to my window. and I fell asleep  before he came. :( ,3:30am guy friend gonna come window fell asleep came :(
137,sadness,"2   &amp; = make pleasant, wonderful #memories right now! &#xA;#recovery #survivors #stopabuse #ptsd #livefree",2 amp = pleasant wonderful #memories right now #xA#recovery #survivors #stopabuse #ptsd #livefree
138,joy,"Some people bring joy wherever they go, and some people bring joy whenever they go.— Mark Twain   ",people bring joy go people bring joy go— Mark Twain
139,joy,yaay! my brother said he'll play badminton with me tomorrow :D ,yaay brother said hell play badminton tomorrow :D
140,neutral,You'd better prepare for the examination . ,better prepare examination 
141,joy,Going to a concert.,Going concert
143,anger,"I was informed by my flatmate that, when we'd moved into our flat, she'd expected us to buy our food separetely - this event actually happened some 5 months after our sharing began. Prior to this, she had said nothing.",informed flatmate that wed moved flat shed expected buy food separetely  event actually happened 5 months sharing began Prior this said nothing
145,anger,"Don't get the impression that you arouse my anger. You see, one can only be angry with those he respects. ~Richard M. Nixon ",impression arouse anger see angry respects ~Richard M Nixon
146,joy," We do many things . In the morning , we go swimming and boating . In the afternoon , we play basketball or tennis . We sit around a camp fire at night.We sing or tell stories . ",things  morning  swimming boating  afternoon  play basketball tennis  sit camp fire nightWe sing tell stories 
147,joy,Arabic coffee what can I do to make you happy. ,Arabic coffee happy
150,joy,Morning tweeps.. Hope you guys have a great filled with and #happyness,Morning tweeps Hope guys great filled #happyness
151,joy,When I received the first year results as the first year had involved a lot of work and I was very pleased when I got the results.,received year results year involved lot work pleased got results
152,sadness,Just got back from my last history class until next semestre. ,got history class semestre
154,anger,"A terrible , furious , impotent anger filled him , making him want to strike out , to shout and scream . ",terrible  furious  impotent anger filled  making want strike  shout scream 
155,sadness,Another day spent in my bed. I really should get a life. ,day spent bed life
157,anger,When I was a soldier I quarrelled with my commander and may be in revenge for this he detailed me on duty two successive nights. Naturally he checked me up on the second night and found me asleep for which he sent me to the cells.,soldier quarrelled commander revenge detailed duty successive nights Naturally checked second night found asleep sent cells
159,neutral, Not really ! ,
160,joy,Lady A concert with @KDClapp06 by some sketchy people. ,Lady concert   sketchy people
161,neutral, To the beach ,beach
162,sadness,I want you and Sheila to know how very much I appreciate the kindness shown to me in my earlier mood of despondency . ,want Sheila know appreciate kindness shown earlier mood despondency 
163,neutral, Everyone from school . ,school 
164,anger," No , I just check my weight , I'm getting fatter . ", check weight  Im getting fatter 
166,joy,When I passed my form three exams.,passed form exams
167,anger,I laughed -- I did n't feel offended . ,laughed  nt feel offended 
168,joy,"my throat is on fire.. guess i'll be going to the doctor tomorrow. in other news, tonight was a successful night(: praise God !",throat fire guess ill going doctor tomorrow news tonight successful night(: praise God 
169,neutral," Yes , there are something good and informative . I think that many people underestimate the value of TV in education . ",Yes  good informative  think people underestimate value TV education 
172,joy,On meeting an old friend of mine.,meeting old friend mine
173,joy,"No matter how old i am, anytime i have a leaf blower i will air blast the closest person to me. Brings me ",matter old am anytime leaf blower air blast closest person me Brings
177,joy,Since I passed the DMCT last year I get to spend my math hour doing absolutely nothing in the library.. ,passed DMCT year spend math hour absolutely library
178,sadness,"When I became conscious that men don't wnat anything they don't have a goal. They have: sex, but this isn't important.",conscious men wnat goal have: sex important
180,joy," Well , it's a special day . They say if you survive the first year , the rest is smooth sailing . ", special day  survive year  rest smooth sailing 
182,sadness,They all seem terribly sad . ,terribly sad 
183,sadness,"During the days that followed Brackenbury 's hasty departure , Edward 's despondency increased . ",days followed Brackenbury s hasty departure  Edward s despondency increased 
185,anger,My father promised me a bicycle for my birthday. Just before my birthday he forgot he promised this to me.,father promised bicycle birthday birthday forgot promised me
186,anger,Auguste shot him an indignant glance . ,Auguste shot indignant glance 
188,anger,"I worked with several classmates on a project.  I was very anxious about the project while my partners showed no concern  and when we had meetings on the project my classmates  did not pay any attention.  Some of them read books while the others argued on irrelevant questions.  The meeting would go on for two hours without the main theme being discussed.  We wasted time and could not reach a compromise.  My classmates avoided doing the work and the responsibilities, they seemed to value other projects more than this one.",worked classmates project anxious project partners showed concern meetings project classmates pay attention read books argued irrelevant questions meeting hours main theme discussed wasted time reach compromise classmates avoided work responsibilities value projects one
190,joy,When my son returned from mountaineering - healthy in body and soul.,son returned mountaineering  healthy body soul
192,joy,On my way to clean the mess that was made at Urban today. ,way clean mess Urban today
193,anger,When my kid brother broke my reading spectacles.,kid brother broke reading spectacles
194,anger," Really , Mary , you ’ re horrible . ", Mary  ’ horrible 
196,neutral,What ’ s up ? You don ’ t look too good . ,’  ’ look good 
198,joy,So now I am doomed to forget something. I just have that shitty luck. ,doomed forget something shitty luck
200,sadness,Then the toot of a trumpet and the clown with the enormous sorrowful eyes was coming at her in her ring-side seat and she wanted to run away . ,toot trumpet clown enormous sorrowful eyes coming ringside seat wanted run away 
201,joy,More lifeguard training tomorrow evening. ,lifeguard training tomorrow evening
202,sadness,When an earlier friend was spreading negative rumours about me.,earlier friend spreading negative rumours me
203,anger,The newcomers feel cold-shouldered by the local population on occasions and become resentful of their almost tribal clannishness . ,newcomers feel coldshouldered local population occasions resentful tribal clannishness 
205,joy," Seein' folks,  overcome limitations, by seeing that THEY can be who they DREAM! That their capacity for is the compass!",Seein folks overcome limitations seeing DREAM capacity compass
206,joy,my birthday and christmas are right around the corner and i have no idea what i want ,birthday christmas right corner idea want
207,sadness,Its funny how people who follow you eventually unfollow you only because you never followed them back. ,funny people follow eventually unfollow followed back
209,sadness,"` I used to be sad and pathetic , but I 'm not so miserable any more . ", sad pathetic  m miserable 
210,joy,Bought my first xmas gifts today!! So full of I love christmas time!!,Bought xmas gifts today love christmas time
211,anger,"` What did you mean , Rachel ? "" her mother asked slowly , ignoring her husband 's indignant look . ", mean  Rachel   mother asked slowly  ignoring husband s indignant look 
212,joy,"As I type, I get texts... baby is fine (moving &amp; heart beating) Since she is O-, they've given a RH shot, to be safe. THE BABY IS FINE! ",type texts baby fine (moving amp heart beating) O theyve given RH shot safe BABY FINE
213,joy,thanksgiving: spending the night at the emegency room. ,thanksgiving: spending night emegency room
215,sadness,my mom asked me if cole caught a deer this year... mom you kill deer...,mom asked cole caught deer year mom kill deer
216,joy,Today has been so off. Time to work in crutches tomorrow ,Today off Time work crutches tomorrow
217,joy,(MIRACLE SCRIPTURE 700 B.C.) Behold the virgin shall conceive &amp; bear a Son &amp; shall call His name Immanuel  Is. 7:14     ,(MIRACLE SCRIPTURE 700 BC) Behold virgin shall conceive amp bear Son amp shall Immanuel Is 7:14
220,anger,When I saw my brother being attacked and I could not do anything.,saw brother attacked anything
222,sadness,I'm so happy  @Harley_Cope5 never says she's thankful for me to be one of her best friends. ,Im happy   says thankful best friends
223,sadness,When he wondered this he felt a deep sadness . ,wondered felt deep sadness 
225,joy,@Mrctn615 we wear the crown cuz we deserve it! ,  wear crown cuz deserve it
226,sadness,Andare a fare shopping e tornare a mani vuote a casa... ,Andare fare shopping e tornare mani vuote casa
227,neutral," Don't be so irritable . I just don't understand the program , that's all . ",irritable  understand program  thats 
228,joy,"On holiday, seeing the lanscape in Girona.",holiday seeing lanscape Girona
229,anger,Pretty sure Kiss only ever play about 3 different songs. And they're TGIF remix pisses me off. And they say 'Gwetta' and 'Agwilera'. ,Pretty sure Kiss play 3 different songs theyre TGIF remix pisses off Gwetta Agwilera
230,joy,Minute shards of glass slashed across Rohmer 's ecstatic face . ,Minute shards glass slashed Rohmer s ecstatic face 
232,anger, Waiter ! ,Waiter 
234,joy,Getting a part-time job.,Getting parttime job
235,anger," I believe that was a wedding present to both of us , Joanne . And you hardly ever use it ! ",believe wedding present  Joanne  hardly use 
236,anger,Nothing would satisfy me more then to see the light leave his eyes and to know he no longer draws breath ,satisfy light leave eyes know longer draws breath
237,anger,"Hoskyns , who only had another year to live , was angry at his university . ",Hoskyns  year live  angry university 
241,joy,Is it just me or does anyone else out there love the smell of their fella post  ,love smell fella post
242,joy,About to bomb this physics test ,bomb physics test
243,joy,good morning world! ,good morning world
244,sadness,"A merciful wave was closing over it , healing her despair . ",merciful wave closing  healing despair 
245,sadness,Relative's death.,Relatives death
247,joy,Eating my first candy cane of the season ,Eating candy cane season
248,sadness,"SHE was once considered one of the world 's most beautiful women , but yesterday every line etched on Britt Ekland 's face told a story of personal anguish . ",considered world s beautiful women  yesterday line etched Britt Ekland s face told story personal anguish 
250,sadness,I wish I was in london so I could go to trafalgar square @Louis_Tomlinson I wish I could meet you all ,wish london trafalgar square   wish meet
251,sadness, yes . It seems she can never accept a childless marriage . We had a fight last night . ,yes  accept childless marriage  fight night 
253,joy,You gotta put some dish detergent in the tub so you can get dat bubble action,gotta dish detergent tub dat bubble action
254,joy,work then working out then homework  ,work working homework
255,anger,"Brazil , for example , was miffed that the summit was n't scheduled for a date after inauguration of its new president next month .",Brazil  example  miffed summit nt scheduled date inauguration new president month 
257,joy,So excited to party party tomorrow night with one of my besties miss Emma Rose :) xxxx ,excited party party tomorrow night besties miss Emma Rose :) xxxx
260,sadness,After the fact that made me ashamed I felt sadness.,fact ashamed felt sadness
261,sadness,"lol can people people stop with the Arashi's FNS mic situation, ok we get the point. anyways, I still can't find TMR's perfs ",lol people people stop Arashis FNS mic situation ok point anyways cant find TMRs perfs
262,sadness,@BanjiGirl I don't even know whats going on. Things have folded. ,  know whats going on Things folded
263,joy,"Pretty excited!  Orgelbau, Dillingen, was chosen (unanimously) to build the new organ for my church! ",Pretty excited Orgelbau Dillingen chosen (unanimously) build new organ church
267,sadness,At my brothers friends house doing nothing. This is what happens when I come back home ,brothers friends house nothing happens come home
268,sadness, Totally not . Perhaps it's about our marriage . ,Totally  marriage 
269,neutral, Who won ? ,
270,sadness,School shootings need to stop.  I know there is no quick fix to this. But schools are supposed to be safe. ,School shootings need stop know quick fix this schools supposed safe
271,anger,"@RXKitten I did and they didn't really intrigue me.  Plus, the campaign ending was anti-climatic to the nth degree.  Uninstall game.  ",  intrigue me Plus campaign ending anticlimatic nth degree Uninstall game
273,sadness,Sometimes i do wish i had black hair..it is much eaiser to find hair weave  . :(,wish black hairit eaiser find hair weave  :(
274,sadness,My dad made a campfire. We have chocolate and grahmcrackers but no marshmallows...what even is this. &lt;/33 ,dad campfire chocolate grahmcrackers marshmallowswhat this lt/33
275,joy,"So I'm sewing, walk downstairs to make a pot of coffee...and find Christmas decorating in full swing!!! Gotta love daughters! ",Im sewing walk downstairs pot coffeeand find Christmas decorating swing Gotta love daughters
278,sadness,Having some massive Busted sesh! Why the fuck did they ever break up! ,massive Busted sesh fuck break up
281,neutral, Why ? ,
282,anger,There was really no reason why Star should be cross . ,reason Star cross 
284,sadness,"` I am sad we have not been afforded the same welcome given to the Beirut hostages , "" he told a deeply moved audience at the AGM last month . ", sad afforded welcome given Beirut hostages   told deeply moved audience AGM month 
285,joy,"Last course, when I passed with good marks three subjects which I had previously failed.",course passed good marks subjects previously failed
288,joy,"Hate trains just ran for one and missed it by a second, saw it drive away, now half hour wait for the next one oh ",Hate trains ran missed second saw drive away half hour wait oh
289,anger,"No lights, no WiFi, no fucking way of making my dinner. ",lights WiFi fucking way making dinner
290,anger,"She turned to Fran , faint annoyance crossing her face . ",turned Fran  faint annoyance crossing face 
291,sadness, pour moi car je n'ai pas beaucoup de followers :'(   ,pour moi car je nai pas beaucoup de followers :(
292,neutral, I won ’ t damage it . ,’ damage 
293,joy," Wow sounds interesting ! Excuse me if I am being a bit nosy but , how old are you ? ",Wow sounds interesting  Excuse bit nosy  old 
295,sadness,Just realized that I'm allergic to my shampoo!! Great! ,realized Im allergic shampoo Great
296,sadness,its prolly gonna happen in the morning too &gt;.&lt; ugh whatever idc anymore :/ ,prolly gonna happen morning gtlt ugh idc anymore :/
298,anger,"I experience this emotion quite often but the day I was most angry was the day I got pulled up for something I had not done.  It happened during my school days, I had not spoken a word in class but the monitor had written my name on the board.  So I had a remark in my callender which I had to get signed by my parents.  This remark resulted in me being spanked.",experience emotion day angry day got pulled done happened school days spoken word class monitor written board remark callender signed parents remark resulted spanked
300,sadness,"As he told Barbara afterwards , he had never felt more depressed . ",told Barbara  felt depressed 
302,anger,"Oh , the food here really is bad . My soup was cold and meat , ur ... it was like leather . ",Oh  food bad  soup cold meat  ur  like leather 
303,sadness,the moment you realize you've lost the one person you always needed most but wouldn't admit it ,moment realize lost person needed admit
304,joy,"Listening to Eternal by Joy Division. Sad, mournful and beautiful all mixed together. division #Ian Curtis",Listening Eternal Joy Division Sad mournful beautiful mixed together division #Ian Curtis
306,joy,"Anyway, time to settle in for a nice plane ride and lots of Russia I reading ",Anyway time settle nice plane ride lots Russia reading
307,sadness,"@mariiiiahhx3 my mo said im not allowed to get picked up from school tomorrow , because i didnt go today ): ",  mo said im allowed picked school tomorrow  didnt today ):
308,sadness,@CaitlynXJesus8 love you to caitlyn.. So sad I have to miss switch I might die ,  love caitlyn sad miss switch die
309,joy,Homework for the rest of the night.....oh lol,Homework rest nightoh lol
310,joy,solid workout at indoor!! Time to do hw half asleep!! #tired,solid workout indoor Time hw half asleep #tired
312,anger,Wow I haven't had this rush of adrenalin in a while. ,Wow rush adrenalin while
314,joy,When my brother gave me a watch.,brother gave watch
315,neutral, OK . ,OK 
318,sadness,She looked into his eyes and saw terrible pain and inconsolable grief . ,looked eyes saw terrible pain inconsolable grief 
321,joy,"I'm sure ill be sick next, these babies keep coughing &amp; sneezing on me.. ",Im sure ill sick next babies coughing amp sneezing me
322,anger,"I just want to sleep, I'm in a bad mood right now. #Sadness",want sleep Im bad mood right now #Sadness
325,neutral, Which guy ? ,guy 
326,joy,sore throat &amp; I feel sick to my stomach ,sore throat amp feel sick stomach
329,sadness,My friend was badly hurt.,friend badly hurt
330,joy,When my child was born.,child born
331,joy,"` I 'm delighted they left you the house , "" Julia told Margaret . ", m delighted left house   Julia told Margaret 
335,sadness,I honestly spent wayyy too much money. Im such an impulse buyer....,honestly spent wayyy money Im impulse buyer
337,anger,The surname of my brother was different from ours.  He often grinned at home and provoked others for the pleasure of it.  This made me angry.,surname brother different ours grinned home provoked pleasure it angry
338,anger,A teacher at my former secondary school forced my darling to marry him.  The girl tried to refuse but her parents would not leave her alone.,teacher secondary school forced darling marry him girl tried refuse parents leave alone
339,anger,I came home one day and discovered that my sister had borrowed my car and had gotten into an accident with it. My entire front bumper was destroyed.,came home day discovered sister borrowed car gotten accident it entire bumper destroyed
340,anger,"Unfair and unjust attitude toward a person close to me, what I was the witness of, caused anger in me.",Unfair unjust attitude person close me witness of caused anger me
343,joy,"Letting Jesus take control of my emotions i.e., ill feeling.",Letting Jesus control emotions ie ill feeling
344,joy,my garage is full of a bunch of drunk people ,garage bunch drunk people
346,joy,God clearly heard me when I asked Him yesterday to surprise me this week! Grabe talaga love Niya. Im in tears! :&quot;&gt;,God clearly heard asked yesterday surprise week Grabe talaga love Niya Im tears :quotgt
347,joy,"It was Saturday, my duties were over for a few hours and I could at last be with the people I wanted to see.",Saturday duties hours people wanted see
349,sadness,When realizing that my girlfriend and myself in fact had started the process of breaking up.,realizing girlfriend fact started process breaking up
350,sadness,"A despondent Renault worker remarked , ` It seems to me that we came very close to something new . "" ",despondent Renault worker remarked   came close new  
351,sadness,Just received a brand new  but it seems to hate my SIM card.   support tells me they don't know whats wrong :( ,received brand new hate SIM card support tells know whats wrong :(
352,joy,"I officially hate you, i guess. ",officially hate you guess
354,joy,"Started my day with building a snowman, taking pictures of the freshly fallen snow, Michael Buble &amp; a cup of tea.  ",Started day building snowman taking pictures freshly fallen snow Michael Buble amp cup tea
355,sadness," Oh , my computer crashed again ! ",Oh  computer crashed 
356,sadness, it was horrible ! It was just one thing after another . ,horrible  thing 
357,anger,ooh look at me i keep copy and pasting jokes off websites because i'm a dick. ,ooh look copy pasting jokes websites im dick
358,sadness,A little bit of soap entered to my eye when I was taking a bath. :(,little bit soap entered eye taking bath :(
359,anger,fuck going to school if it means i have to look at your face! ,fuck going school means look face
360,joy,3 hour drive to the airport. Wait in the airport for 2 hours then 3 hour plane ride. Followed by a hour drive home. #howilovetraveling,3 hour drive airport Wait airport 2 hours 3 hour plane ride Followed hour drive home #howilovetraveling
361,anger,"mau diet curcol di twitter pasti gagal  yg tadi makan dikondangan,sekarang makan pecel lele #LOL ancur sudah diet ku #LOL",mau diet curcol di twitter pasti gagal yg tadi makan dikondangansekarang makan pecel lele #LOL ancur sudah diet ku #LOL
362,joy,Eating everything in my kitchen...hm must be that time on month again :/ ,Eating kitchenhm time month :/
364,joy,Great concert w @AVALONtheGroup tonight. Amazing crowd!!! See ya'll again tomorrow night! ,Great concert w   tonight Amazing crowd yall tomorrow night
365,joy,Looking forward to doing nothing this weekend apart from working @TheBodyShopUK ,Looking forward weekend apart working  
366,joy,But some of the younger dons were ecstatic about the election . ,younger dons ecstatic election 
367,joy,@2FBS Tis down here. Worst city in NZ for it. Grass seed atm. Howling NE'er blowing it into the air. In Jan it'll be pine pollen ,  Tis here Worst city NZ it Grass seed atm Howling NEer blowing air Jan itll pine pollen
368,sadness,@inasar paris is a dream land!must be cold there.its almost mid of november AND ITS SO NOT COLD HERE! weather is still the same :-( ,  paris dream landmust cold thereits mid november COLD HERE weather :(
369,sadness," I know that , mom . But sometimes I'm just sad . ",know  mom  Im sad 
370,anger,"My Mum is so stingy that she put water in my Bacardi and coke, Just to save Barcadi. ",Mum stingy water Bacardi coke save Barcadi
